norm_id	document_id	section_id	page	formulation_sha256	page_text_match_status
N-GEN-045	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-045	28	873342c8fe5591f40f55faf046690d4681804ef566322ca0b2f728c9d4e4d5c4	PASS
N-GEN-046	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-046	28	77a007ca40d60e4bda4b1ad7947b46bab68cb11b8bdd68361f605109449b9743	PASS
N-GEN-047	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-047	29	79ea58204746f4447559abd45c5293ae5eec65a4c1245e4bae433b821840a905	PASS
N-GEN-048	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-048	29	8fbb2f1f394fea5bacc660b0c29c0ca06d396bbc3fb3ce107c227868158fadf2	PASS
N-GEN-049	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-049	30	37bb61916d392a8b4e7b37c222b261b546459531e7671c4ac71de1a5521a2d96	PASS
N-GEN-050	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-050	30	ea9c6ed07f3cb696fdbdfd55105292964131735eae0a94a2f0f70b44b0e7dc8a	PASS
N-GEN-051	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-051	31	d6c4c900284583608435f69b4d5ae35b717a79c44ebd6b211b8014f76f28f1e8	PASS
N-GEN-052	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-052	31	6317cb92ad6e86b65ff9b4299b134a75ae1287cbd8a4d9d6cf81ab23db067f5e	PASS
N-GEN-053	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-053	32	c96ac6166e4a977e609fafcb9ffe36bffe6162a12e6235f6ce2bed8ab392848d	PASS
N-GEN-054	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-054	32	44169d341031310798a6738ab637accd26e3e8c164a6cb0402f9a51c5776cd63	PASS
N-GEN-055	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-055	33	c9ef1227d004979d34734e2d2fc4ea8c77f090133e9613e7483dd73724b3c670	PASS
N-GEN-056	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-056	33	99ba1f5b07b3de8ae793c836923e310cbae07106c968a36634d3250094683e5a	PASS
N-GEN-057	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-057	34	2de7aa92986572614f73111bfa5433864dbd5cd99156547f637f7dc4d883c3ba	PASS
N-GEN-058	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-058	34	5681474f551d11c6afd5cd19ce8187fb83dadaf09071dfa2ab187e2f711c4b19	PASS
N-GEN-059	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-059	35	921df52189632e1eff8de6e851052a141843222b16d3eaf203a968e460fea0e8	PASS
N-GEN-060	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-060	35	8687041339ec40165b90fd80d9f7b5253e3e2d5e0e13df50db7f865a5679854e	PASS
N-GEN-061	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-061	36	2661925687500eccf2b978cd1bf06115130ac553693e5d964cbba4278bbb0300	PASS
N-GEN-062	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-062	36	95e44111fb8e51b032ef0488b6f7143747c82bb710cadd240c27beb827088fca	PASS
N-GEN-063	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-063	37	541ca1d8d88a35728a8b6bc5fe2c5b5f1b72cca1d01aac5397c9b95d9390079c	PASS
N-GEN-064	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-064	37	0f8be93473faeceb05c713d7a89060c8faabb15509032cdf21ac9e3b7ac3c715	PASS
N-GEN-065	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-065	38	9e984d5be8b367f6dc52558033401f4ca0bec022de2bbdcf625ab3fd855e55cc	PASS
N-GEN-066	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-066	38	1c2ff7c10bb99f93baa4ec230b210fae9188540411217d10a2ff1f119bb2dbd5	PASS
N-GEN-067	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-067	39	93794ea32f37f80f9f9b5c9ee8cbb0190c958ed6a24a754c0fca4b2637d5d310	PASS
N-GEN-068	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-068	39	f57f4530340c2bf23978d9569f0c3b424f9bf76ff40ca2cea2ab1b63b47fb13a	PASS
N-GEN-069	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-069	40	e93cd7d06f031630548de11838cfa9eb03d57e8207ff22ef0bc433b75954da61	PASS
N-GEN-070	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-070	40	2d31ae57f130be231f6418ed04e2987f556ec1589c6e83a038be417dc2557101	PASS
N-GEN-071	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-071	41	54a9f0f8179aab233825a3e584846103150643a6b73adbd10407c18ea33309ea	PASS
N-GEN-072	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-072	41	e528d84f2a5fabb0481ecc4bdce1c9eb7d5e74f68a65c2411bdf11cd6d7651a4	PASS
N-GEN-073	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-073	42	9dceb8dcb29d4e4efbc0c36fa9c80a65f7e1c60f16dfaf027ebb3006bac9e2f7	PASS
N-GEN-074	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-074	42	dc0c92e4ca9d5f58c550be1a6d4b25f70f422dc6e8db11f7fe86a20082605c57	PASS
N-GEN-075	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-075	43	b6edc475094e7f7fb717da9d699a7267d6e78d58b6489d66d89862e054c8d3f9	PASS
N-GEN-076	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-076	43	4590fe5f0c2962295ae619f09ca4cc79dc52bda4c1d09a7b3d17ddbe46d8deb1	PASS
N-GEN-077	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-077	44	15b9da1f42ea27e4baf1bf39215e747390981792609aeff8cac486ef877e9eee	PASS
N-GEN-078	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-078	44	30878d1815560e14c96f54b673ee6fc30785ccb02761bd3ee0e3401b915c85b4	PASS
N-GEN-079	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-079	45	f4b30ae2c3378a0ff315f7258c8e1c48051459e5a62ad71980dfe0641d720826	PASS
N-GEN-080	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-080	45	90ead7aafcafb850bef93f563b8f6e8a5501c6f04c55f8eea1c9ea60b475c239	PASS
N-GEN-081	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-081	46	36e1168da274d7ea4dccca6019a0a24ae011e09d69007d4ea12f4051bf4dfee5	PASS
N-GEN-082	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-082	46	23b43cb190cd7235f104712a169ccc3f2a874149fa3e7aafe6848d6ccd5c250b	PASS
N-GEN-083	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-083	47	40f59c688058cbea6f75a389ce5054acbf7066e5c2482928fcb32121748724e8	PASS
N-GEN-084	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-084	47	e56f9fed77042b7da69bb6a1777da8990eb7993d54714cc3a978b4013c6464d7	PASS
N-GEN-085	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-085	48	f9306734c972f3bd67f8be63408d161c014a902ffca2bccb83de81bc652ec979	PASS
N-GEN-086	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-086	48	5c63f704e75774cfc15d8d5d49b6f9a6984c0c62dd3213844dec86b7bd4972f6	PASS
N-GEN-087	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-087	49	f2bb7bb8041ff2226baec5ea870f9a2a593c4f1384cd9ab19a6f660805997725	PASS
